x,y,gvi,gvi_adj
19,43,0.10663986206054688,0.10663986206054688
20,34,0.2268829345703125,0.2268829345703125
10,59,0.11377334594726562,0.11377334594726562
24,23,0.040073394775390625,0.040073394775390625
33,3,0.188446044921875,0.188446044921875
28,38,0.29145050048828125,0.29145050048828125
25,67,0.062137603759765625,0.062137603759765625
11,57,0.06293869018554688,0.06293869018554688
24,58,0.001628875732421875,0.001628875732421875
13,37,0.001293182373046875,0.001293182373046875
18,53,0.03534698486328125,0.03534698486328125
6,24,0.4260978698730469,0.4260978698730469
33,49,0.0,0.0
30,36,0.1780853271484375,0.1780853271484375
15,49,0.391021728515625,0.391021728515625
14,37,0.3583526611328125,0.3583526611328125
28,7,0.005962371826171875,0.005962371826171875
22,62,0.2283477783203125,0.2283477783203125
22,21,0.12479019165039062,0.12479019165039062
29,14,0.4815635681152344,0.4815635681152344
27,36,0.0447235107421875,0.0447235107421875
9,34,0.19496917724609375,0.19496917724609375
18,73,0.012058258056640625,0.012058258056640625
19,28,0.002971649169921875,0.002971649169921875
30,57,0.17679977416992188,0.17679977416992188
12,72,0.2971534729003906,0.2971534729003906
32,50,0.058345794677734375,0.058345794677734375
26,15,0.16935348510742188,0.16935348510742188
31,25,0.06995391845703125,0.06995391845703125
17,56,0.3156776428222656,0.3156776428222656
20,74,0.24105453491210938,0.24105453491210938
35,35,0.19173812866210938,0.19173812866210938
13,49,0.13717269897460938,0.13717269897460938
21,53,0.07764434814453125,0.07764434814453125
15,22,0.07921600341796875,0.07921600341796875
24,74,0.0,0.0
27,49,0.21341705322265625,0.21341705322265625
23,26,0.23015594482421875,0.23015594482421875
31,28,0.1292724609375,0.1292724609375
28,31,0.2659797668457031,0.2659797668457031
32,32,0.18021392822265625,0.18021392822265625
28,47,0.3237724304199219,0.3237724304199219
22,73,0.3429985046386719,0.3429985046386719
24,18,0.088653564453125,0.088653564453125
24,40,0.3870887756347656,0.3870887756347656
15,44,0.06093597412109375,0.06093597412109375
29,54,0.00018310546875,0.00018310546875
13,59,0.08695602416992188,0.08695602416992188
33,33,0.09274673461914062,0.09274673461914062
19,72,0.019870758056640625,0.019870758056640625
32,34,0.38603973388671875,0.38603973388671875
26,33,0.5221977233886719,0.5221977233886719
32,46,0.3545799255371094,0.3545799255371094
9,20,0.10860061645507812,0.10860061645507812
37,51,0.10885238647460938,0.10885238647460938
17,16,0.1618499755859375,0.1618499755859375
45,45,0.18385696411132812,0.18385696411132812
38,41,0.4586601257324219,0.4586601257324219
35,31,0.2623863220214844,0.2623863220214844
11,38,0.20764923095703125,0.20764923095703125
19,63,0.14131546020507812,0.14131546020507812
24,55,0.0351409912109375,0.0351409912109375
6,39,0.0867919921875,0.0867919921875
33,28,0.08896255493164062,0.08896255493164062
20,20,0.10744857788085938,0.10744857788085938
12,52,0.08749771118164062,0.08749771118164062
26,64,0.028789520263671875,0.028789520263671875
22,28,0.16143798828125,0.16143798828125
4,36,0.062469482421875,0.062469482421875
19,71,0.10351943969726562,0.10351943969726562
31,20,0.11414718627929688,0.11414718627929688
14,30,0.08612442016601562,0.08612442016601562
38,47,0.013156890869140625,0.013156890869140625
16,44,0.060901641845703125,0.060901641845703125
32,61,0.0,0.0
33,9,0.0841064453125,0.0841064453125
30,30,0.18456649780273438,0.18456649780273438
23,41,0.06979751586914062,0.06979751586914062
8,31,0.2339324951171875,0.2339324951171875
13,58,0.22877120971679688,0.22877120971679688
27,31,0.16420364379882812,0.16420364379882812
35,40,0.0526275634765625,0.0526275634765625
35,43,0.19002914428710938,0.19002914428710938
21,24,0.0,0.0
36,42,0.04962921142578125,0.04962921142578125
32,4,0.2546272277832031,0.2546272277832031
24,67,0.40491485595703125,0.40491485595703125
35,6,0.3150978088378906,0.3150978088378906
15,25,0.24788665771484375,0.24788665771484375
29,49,0.08966827392578125,0.08966827392578125
29,64,0.35314178466796875,0.35314178466796875
11,71,0.22428131103515625,0.22428131103515625
20,32,0.01696014404296875,0.01696014404296875
31,68,0.32109832763671875,0.32109832763671875
21,52,0.12163543701171875,0.12163543701171875
7,22,0.22600936889648438,0.22600936889648438
9,30,0.0,0.0
7,31,0.0100860595703125,0.0100860595703125
20,16,0.2725372314453125,0.2725372314453125
33,10,0.15443801879882812,0.15443801879882812
20,73,0.12326812744140625,0.12326812744140625
4,46,0.1321868896484375,0.1321868896484375
13,63,0.3028831481933594,0.3028831481933594
12,37,0.09948348999023438,0.09948348999023438
30,63,0.10968780517578125,0.10968780517578125
24,61,0.2628135681152344,0.2628135681152344
17,18,0.05895233154296875,0.05895233154296875
7,47,0.19813156127929688,0.19813156127929688
7,24,0.1187896728515625,0.1187896728515625
20,51,0.019962310791015625,0.019962310791015625
22,20,0.22140121459960938,0.22140121459960938
18,64,0.4308624267578125,0.4308624267578125
15,27,0.19929885864257812,0.19929885864257812
31,31,0.4085845947265625,0.4085845947265625
15,64,0.3391876220703125,0.3391876220703125
18,17,0.07242584228515625,0.07242584228515625
10,51,0.2208099365234375,0.2208099365234375
21,74,0.203369140625,0.203369140625
17,52,0.06632614135742188,0.06632614135742188
31,57,0.3880882263183594,0.3880882263183594
29,67,0.15875244140625,0.15875244140625
4,35,0.016269683837890625,0.016269683837890625
30,45,0.10523605346679688,0.10523605346679688
32,18,0.38346099853515625,0.38346099853515625
